Method1,Method2,Metric,Size,Test_Type,P_Value,Decision,Subject
codon,cpp,energy_consumption,large,Wilcoxon,0.010132282578103,Reject H0,set_partition
codon,python,energy_consumption,small,Wilcoxon,3.1080031080031e-4,Reject H0,spectral_norm
codon,cpp,energy_consumption,small,Wilcoxon,0.4234471410942,Fail to reject H0,spectral_norm
codon,python,energy_consumption,medium,Wilcoxon,8.22706705059646e-5,Reject H0,spectral_norm
codon,cpp,energy_consumption,medium,Wilcoxon,0.153535353535354,Fail to reject H0,spectral_norm
codon,python,energy_consumption,large,T-test,2.27606830482811e-5,Reject H0,spectral_norm
codon,cpp,energy_consumption,large,T-test,0.80946294522867,Fail to reject H0,spectral_norm
codon,python,energy_consumption,small,Wilcoxon,4.57059280588692e-5,Reject H0,taq
codon,cpp,energy_consumption,small,Wilcoxon,4.57059280588692e-5,Reject H0,taq
codon,python,energy_consumption,medium,Wilcoxon,2.16501764489381e-5,Reject H0,taq
codon,cpp,energy_consumption,medium,Wilcoxon,8.22706705059646e-5,Reject H0,taq
codon,python,energy_consumption,large,Wilcoxon,4.57059280588692e-5,Reject H0,taq
codon,cpp,energy_consumption,large,Wilcoxon,0.888358700123406,Fail to reject H0,taq
codon,python,execution_time,small,T-test,9.71852290253963e-14,Reject H0,binary_trees
codon,cpp,execution_time,small,T-test,4.83009699266932e-6,Reject H0,binary_trees
codon,python,execution_time,medium,Wilcoxon,0.00216450216450216,Reject H0,binary_trees
codon,cpp,execution_time,medium,Wilcoxon,0.00432900432900433,Reject H0,binary_trees
codon,python,execution_time,large,Wilcoxon,1.7482517482517e-4,Reject H0,binary_trees
codon,cpp,execution_time,large,Wilcoxon,8.22706705059646e-5,Reject H0,binary_trees
codon,python,execution_time,small,Wilcoxon,8.22706705059646e-5,Reject H0,fasta
codon,cpp,execution_time,small,Wilcoxon,4.11353352529823e-5,Reject H0,fasta
codon,python,execution_time,medium,Wilcoxon,1.0283833813245e-4,Reject H0,fasta
codon,cpp,execution_time,medium,Wilcoxon,1.0283833813245e-4,Reject H0,fasta
codon,python,execution_time,large,Wilcoxon,1.0283833813245e-4,Reject H0,fasta
codon,cpp,execution_time,large,Wilcoxon,4.57059280588692e-5,Reject H0,fasta
codon,python,execution_time,small,Wilcoxon,2.16501764489381e-5,Reject H0,float
codon,cpp,execution_time,small,Wilcoxon,1.7482517482517e-4,Reject H0,float
codon,python,execution_time,medium,T-test,1.4230168075867998e-20,Reject H0,float
codon,cpp,execution_time,medium,Wilcoxon,1.5540015540015e-4,Reject H0,float
codon,python,execution_time,large,Wilcoxon,4.11353352529823e-5,Reject H0,float
codon,cpp,execution_time,large,T-test,4.29768909766512e-13,Reject H0,float
codon,python,execution_time,small,Wilcoxon,6.6600066600066e-4,Reject H0,mandelbrot
codon,cpp,execution_time,small,Wilcoxon,0.797202797202797,Fail to reject H0,mandelbrot
codon,python,execution_time,medium,Wilcoxon,2.16501764489381e-5,Reject H0,mandelbrot
codon,cpp,execution_time,medium,Wilcoxon,0.0342794460441519,Reject H0,mandelbrot
codon,python,execution_time,large,Wilcoxon,3.1080031080031e-4,Reject H0,mandelbrot
codon,cpp,execution_time,large,Wilcoxon,0.0078979843685726,Reject H0,mandelbrot
codon,python,execution_time,small,Wilcoxon,1.0283833813245e-4,Reject H0,nbody
codon,cpp,execution_time,small,Wilcoxon,3.1080031080031e-4,Reject H0,nbody
codon,python,execution_time,medium,Wilcoxon,2.16501764489381e-5,Reject H0,nbody
codon,cpp,execution_time,medium,Wilcoxon,0.274281274281274,Fail to reject H0,nbody
codon,python,execution_time,large,Wilcoxon,1.0283833813245e-4,Reject H0,nbody
codon,cpp,execution_time,large,Wilcoxon,0.00116550116550117,Reject H0,nbody
codon,python,execution_time,small,Wilcoxon,4.57059280588692e-5,Reject H0,nsieve
codon,cpp,execution_time,small,Wilcoxon,8.22706705059646e-5,Reject H0,nsieve
codon,python,execution_time,medium,Wilcoxon,5.8275058275058e-4,Reject H0,nsieve
codon,cpp,execution_time,medium,Wilcoxon,3.1080031080031e-4,Reject H0,nsieve
codon,python,execution_time,large,Wilcoxon,3.1080031080031e-4,Reject H0,nsieve
codon,cpp,execution_time,large,T-test,5.65562493018082e-17,Reject H0,nsieve
codon,python,execution_time,small,T-test,6.48563577354901e-32,Reject H0,set_partition
codon,cpp,execution_time,small,Wilcoxon,0.297326203208556,Fail to reject H0,set_partition
codon,python,execution_time,medium,Wilcoxon,1.7482517482517e-4,Reject H0,set_partition
codon,cpp,execution_time,medium,Wilcoxon,0.00252525252525253,Reject H0,set_partition
codon,python,execution_time,large,Wilcoxon,8.22706705059646e-5,Reject H0,set_partition
codon,cpp,execution_time,large,Wilcoxon,2.5980211738725e-4,Reject H0,set_partition
codon,python,execution_time,small,Wilcoxon,3.1080031080031e-4,Reject H0,spectral_norm
codon,cpp,execution_time,small,Wilcoxon,0.19958864664747,Fail to reject H0,spectral_norm
codon,python,execution_time,medium,Wilcoxon,8.22706705059646e-5,Reject H0,spectral_norm
codon,cpp,execution_time,medium,Wilcoxon,0.153535353535354,Fail to reject H0,spectral_norm
codon,python,execution_time,large,T-test,1.80624611145062e-5,Reject H0,spectral_norm
codon,cpp,execution_time,large,Wilcoxon,0.173776223776224,Fail to reject H0,spectral_norm
codon,python,execution_time,small,Wilcoxon,4.57059280588692e-5,Reject H0,taq
codon,cpp,execution_time,small,Wilcoxon,4.57059280588692e-5,Reject H0,taq
codon,python,execution_time,medium,Wilcoxon,2.16501764489381e-5,Reject H0,taq
codon,cpp,execution_time,medium,Wilcoxon,8.22706705059646e-5,Reject H0,taq
codon,python,execution_time,large,Wilcoxon,4.57059280588692e-5,Reject H0,taq
codon,cpp,execution_time,large,Wilcoxon,0.113944878650761,Fail to reject H0,taq
codon,python,mem_usage,small,Wilcoxon,0.0054941108756312,Reject H0,binary_trees
codon,cpp,mem_usage,small,Wilcoxon,0.00127359536227267,Reject H0,binary_trees
codon,python,mem_usage,medium,Wilcoxon,0.00484660121048849,Reject H0,binary_trees
